gender,city,state,job,category,amt,dia,mes,ano,hora,minuto,is_fraud
F,Calhan,CO,Sports development officer,shopping_pos,7.42,22,8,2023,1,17,0.0
M,Allison Park,PA,Software engineer,misc_net,74.56,20,6,2023,5,11,0.0
F,Bethel,OH,"Teacher, secondary school",home,98.78,9,12,2023,15,11,0.0
M,Allison Park,PA,Software engineer,misc_pos,17.03,14,7,2023,21,52,0.0
M,Staunton,IL,Editorial assistant,home,45.22,12,12,2023,19,22,0.0
M,Shreveport,LA,"Therapist, horticultural",grocery_net,142.1,18,4,2023,4,0,0.0
M,Leesburg,GA,Dancer,grocery_pos,104.53,5,5,2023,11,30,0.0
F,Dansville,NY,Patent attorney,gas_transport,65.92,16,3,2023,11,5,0.0
M,Nanuet,NY,Ophthalmologist,shopping_pos,6.44,5,8,2023,11,58,0.0
M,Santa Ana,CA,"Designer, textile",misc_net,1.68,4,6,2023,8,31,0.0
F,Longwood,FL,"Engineer, broadcasting (operations)",gas_transport,70.04,18,3,2023,8,33,0.0
F,Stafford,VA,Careers information officer,shopping_net,9.16,29,7,2023,20,18,0.0
M,York,PA,Radio broadcast assistant,kids_pets,88.85,22,1,2024,23,9,0.0
M,Burlington,WA,Fish farm manager,misc_net,85.03,6,6,2023,20,49,0.0
F,Muscatine,IA,Systems developer,food_dining,29.62,15,10,2023,12,54,0.0
F,Schenectady,NY,Professor Emeritus,entertainment,44.6,24,9,2023,21,56,0.0
F,Columbia,MD,Statistician,kids_pets,1.92,23,12,2023,17,27,0.0
F,Bronx,NY,Fisheries officer,home,7.66,5,12,2023,17,36,0.0
F,Fort Worth,TX,"Social research officer, government",shopping_net,62.09,24,7,2023,22,11,0.0
M,New York City,NY,Chartered legal executive (England and Wales),kids_pets,261.16,13,1,2024,15,48,0.0
F,Circle Pines,MN,"Programmer, systems",home,73.76,12,12,2023,12,32,0.0
M,Portland,OR,Merchant navy officer,home,90.47,25,12,2023,22,37,0.0
M,Canton,GA,Barista,kids_pets,4.48,18,1,2024,13,59,0.0
F,Seattle,WA,Interior and spatial designer,health_fitness,242.72,30,11,2023,14,4,0.0
M,Brockton,MA,Hydrogeologist,gas_transport,63.38,26,3,2023,3,22,0.0
F,Rochester,NY,Management consultant,health_fitness,102.08,9,11,2023,15,44,0.0
F,Carson City,NV,Health and safety inspector,home,119.87,2,12,2023,22,38,0.0
M,York,PA,Radio broadcast assistant,personal_care,46.42,31,1,2024,23,41,0.0
F,Bethel,OH,"Teacher, secondary school",entertainment,53.67,29,9,2023,21,53,0.0
F,Tualatin,OR,Occupational therapist,home,874.95,10,12,2023,12,4,0.0
F,Mahaffey,PA,Chartered accountant,home,9.55,15,12,2023,19,47,0.0
M,York,PA,Radio broadcast assistant,travel,59.65,27,2,2024,21,45,0.0
F,Hawthorne,FL,Games developer,kids_pets,1.28,30,12,2023,16,50,0.0
F,Denver,CO,Clinical embryologist,gas_transport,92.13,21,4,2023,10,30,0.0
M,Shreveport,LA,"Therapist, horticultural",grocery_net,75.37,19,4,2023,11,56,0.0
M,Marcus Hook,PA,"Production designer, theatre/television/film",gas_transport,58.5,9,4,2023,9,44,0.0
